,Type,Year,Mo,Country,Latitude,Longitude,Total Deaths,Total Death Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Mag,Maximum Water Height (m)
168,EQ,1994.0,6.0,New Zealand,-42.963,171.658,,,,,,1.0,6.8,
169,EQ,1994.0,6.0,Iran,28.968,52.614,3.0,1.0,100.0,2.0,,3.0,5.9,
170,EQ,1994.0,8.0,Algeria,35.52,-0.106,171.0,3.0,,,,4.0,5.9,
171,EQ,1994.0,9.0,United States,40.402,-125.68,,,,,,1.0,7.0,
172,EQ,1994.0,10.0,Japan,43.773,147.321,11.0,1.0,382.0,3.0,,3.0,8.3,
173,EQ,1994.0,10.0,Indonesia,-1.258,127.98,1.0,1.0,52.0,2.0,,2.0,6.8,
174,EQ,1994.0,10.0,Russia,43.905,147.916,,,,,,,7.3,
175,EQ,1994.0,11.0,Philippines,13.525,121.067,81.0,2.0,225.0,3.0,3.7,2.0,7.1,
176,EQ,1994.0,12.0,Samoa,40.741,-124.31,,,,,2.1,2.0,5.5,
177,EQ,1994.0,12.0,Japan,40.525,143.419,3.0,1.0,200.0,3.0,170.4,4.0,7.8,
178,EQ,1994.0,12.0,China,20.524,109.33,,,360.0,3.0,,2.0,5.3,
179,EQ,1995.0,1.0,Japan,34.583,135.018,5502.0,4.0,36896.0,4.0,100000.0,4.0,6.9,
180,EQ,1995.0,1.0,Colombia,5.05,-72.916,7.0,1.0,,2.0,,2.0,6.5,
181,EQ,1995.0,2.0,New Zealand,-37.759,178.752,,,,,,,7.1,
182,EQ,1995.0,2.0,Armenia,4.104,-76.622,45.0,1.0,400.0,3.0,50.0,4.0,6.4,
183,EQ,1995.0,2.0,Cyprus,35.046,32.279,2.0,1.0,5.0,1.0,4.34,2.0,5.9,
184,EQ,1995.0,3.0,Indonesia,-4.183,135.109,,,,,,1.0,6.9,
185,EQ,1995.0,4.0,Japan,37.925,139.186,,,,,,,5.4,
186,EQ,1995.0,4.0,American Samoa,-15.199,-173.529,,,,,,,7.4,
187,EQ,1995.0,4.0,Philippines,12.059,125.58,,,,,,,7.2,
188,EQ,1995.0,4.0,Philippines,12.047,125.92,,,,,,,6.8,
189,EQ,1995.0,5.0,Greece,40.149,21.695,,,25.0,1.0,450.0,4.0,6.6,
190,EQ,1995.0,5.0,Indonesia,-8.452,125.049,11.0,1.0,19.0,1.0,,1.0,6.9,
191,EQ,1995.0,5.0,New Caledonia,-23.008,169.9,,,,,,,7.7,
192,EQ,1995.0,5.0,Russia,52.629,142.827,1989.0,4.0,750.0,3.0,300.0,4.0,7.1,
193,EQ,1995.0,6.0,Greece,38.401,22.283,26.0,1.0,60.0,2.0,660.0,4.0,6.5,
194,EQ,1995.0,7.0,China,21.966,99.196,11.0,1.0,136.0,3.0,36.1,4.0,6.8,
195,EQ,1995.0,7.0,China,36.427,103.123,14.0,1.0,60.0,1.0,,3.0,5.6,
196,EQ,1995.0,7.0,Chile,-23.34,-70.294,3.0,1.0,,,1.791,2.0,8.0,
197,EQ,1995.0,8.0,Guinea,-5.799,154.178,,,,,,1.0,7.7,
198,EQ,1995.0,9.0,Mexico,16.779,-98.597,3.0,1.0,100.0,2.0,,2.0,7.4,
199,EQ,1995.0,10.0,Turkey,38.063,30.134,95.0,2.0,348.0,3.0,205.8,4.0,6.4,
200,EQ,1995.0,10.0,Ecuador,-2.75,-77.881,2.0,1.0,5.0,1.0,,1.0,7.0,
201,EQ,1995.0,10.0,United States,65.17,-148.565,,,,,,1.0,6.0,
202,EQ,1995.0,10.0,Indonesia,-2.045,101.436,84.0,2.0,1868.0,4.0,,4.0,6.8,
203,EQ,1995.0,10.0,Mexico,19.055,-104.205,50.0,1.0,200.0,3.0,,2.0,8.0,
204,EQ,1995.0,10.0,Japan,27.929,130.175,,,1.0,1.0,,1.0,7.1,
205,EQ,1995.0,10.0,Japan,28.094,130.148,,,,,,,6.8,
206,EQ,1995.0,10.0,China,26.003,102.227,81.0,2.0,800.0,3.0,80.0,4.0,6.2,
207,EQ,1995.0,11.0,Chile,-28.906,-71.417,,,,,,,6.7,
208,EQ,1995.0,11.0,Egypt,28.826,34.799,11.0,1.0,47.0,1.0,,2.0,7.2,
209,EQ,1995.0,12.0,Russia,44.663,149.3,,,,,,,7.9,
210,EQ,1996.0,1.0,Indonesia,0.729,119.931,9.0,1.0,63.0,2.0,1.2,2.0,7.9,
211,EQ,1996.0,2.0,China,27.291,100.276,322.0,3.0,17057.0,4.0,506.0,4.0,6.6,
212,EQ,1996.0,2.0,Guinea,-0.891,136.952,164.0,3.0,423.0,3.0,4.2,2.0,8.2,
213,EQ,1996.0,2.0,Peru,-9.593,-79.587,12.0,1.0,57.0,2.0,,,7.5,
214,EQ,1996.0,2.0,Mexico,15.978,-98.07,,,,,,,7.1,
215,EQ,1996.0,3.0,China,39.993,76.696,24.0,1.0,128.0,3.0,24.0,3.0,6.3,
216,EQ,1996.0,3.0,Ecuador,-1.036,-78.737,27.0,1.0,100.0,2.0,7.0,3.0,5.9,
217,EQ,1996.0,4.0,Solomon Islands,-6.518,154.999,1.0,1.0,,,,2.0,7.2,
218,EQ,1996.0,5.0,China,40.774,109.661,23.0,1.0,330.0,3.0,,4.0,6.0,
